genres_0,genres_1,genres_2,genres_3,app_name,id
Action, Indie, Racing, Simulation,Altitude0: Lower & Faster,308080
Action,,,,Darkest of Days,37700
Adventure, Indie, RPG, Simulation,Major\Minor,417990
RPG, Strategy,,,Age of Wonders II: The Wizard's Throne,61510
RPG, Strategy,,,Age of Wonders Shadow Magic,61520
RPG, Strategy,,,Age of Wonders,61500
Casual,,,,ItzaBitza,40200
Adventure, Indie,,,Technobabylon,307580
Action, Adventure, Casual, Indie,Muffin Knight,263700
Simulation,,,,Silent Hunter 5®: Battle of the Atlantic,48110
Action, Free to Play,,,Dirty Bomb®,333930
Adventure, Indie,,,Blueberry Garden,29160
Action, Adventure, Indie,,NECROPOLIS: BRUTAL EDITION,384490
Adventure, Casual, Free to Play, Massively Multiplayer,Aura Kingdom,268420
Free to Play,,,,Magic Barrage - Bitferno,335150
Racing,,,,Test Drive Unlimited 2,9930
Action, Adventure, Indie,,Urizen Shadows of the Cold Deluxe Frosty Edition,397700
Action, Adventure, Casual, Indie,Magma Chamber,463240
Indie, Early Access,,,Lost Moon,406090
Action, Indie,,,Bombernauts,246920
Casual, Free to Play, Massively Multiplayer,,Atom Universe,394120
Action, Adventure, Casual, Indie,Gang Beasts,285900
Action, Adventure, Indie, Early Access,The District,357770
Action, Casual, Indie, Racing,Polyball,368180
Education, Software Training, Utilities, Web Publishing,Driver Fusion Premium,234820
Indie, Strategy, Early Access,,Legion TD 2,469600
Action, Adventure, Massively Multiplayer, RPG,Kings and Heroes,436560
Simulation, Sports, Strategy,,Football Club Simulator - FCS 18,324090
Action, Adventure, Indie,,Among the Sleep - Enhanced Edition,250620
Action, Free to Play,,,Codename CURE,355180
Action, Free to Play, Indie,,Grimoire: Manastorm,335430
Action, Free to Play, Indie,,Brawlhalla,291550
Action, Indie,,,Overgrowth,25000
Action, Indie, Massively Multiplayer,,Heliborne,433530
Adventure, Indie,,,CAT Interstellar,384740
Casual, Indie, Massively Multiplayer, Strategy,Forgotten Lore,391240
Action, Indie,,,Press X to Not Die,402330
Adventure, Indie,,,A Hat in Time,253230
Action, Indie, Strategy,,Divided We Fall,495580
Action, Indie,,,Project Nimbus,257030
Casual, Indie, Simulation,,Autocraft,287220
Adventure, RPG, Strategy,,Divinity: Original Sin 2,435150
Action, Adventure, Indie, Simulation,3030 Deathwar Redux,464360
Action, Adventure, Indie, Massively Multiplayer,ARK: Survival Evolved,346110
